Date,Price,PercentChange(%)
1968-01-03,35.2,
1968-02-01,35.2,0.0
1968-03-01,39.4,11.931818181818182
1968-04-01,39.1,-0.7614213197969543
1968-05-01,41.3,5.626598465473146
1968-06-03,41.0,-0.7263922518159807
1968-07-01,38.75,-5.487804878048781
1968-08-01,39.9,2.967741935483871
1968-09-02,38.55,-3.3834586466165413
1968-10-01,39.5,2.4643320363164722
1968-11-01,40.62,2.8354430379746836
1968-12-02,41.72,2.708025603151157
1969-01-01,42.52,1.9175455417066156
1969-02-03,42.7,0.4233301975540922
1969-03-03,43.4,1.639344262295082
1969-04-01,43.6,0.4608294930875576
1969-05-01,43.37,-0.5275229357798165
1969-06-02,40.9,-5.695181000691722
1969-07-01,41.47,1.3936430317848412
1969-08-01,40.92,-1.3262599469496021
1969-09-01,40.85,-0.1710654936461388
1969-10-01,40.0,-2.08078335373317
1969-11-03,35.6,-11.0
1969-12-01,35.17,-1.2078651685393258
1970-01-01,34.83,-0.9667330110889963
1970-02-02,34.96,0.37324145851277635
1970-03-02,35.1,0.40045766590389015
1970-04-01,35.95,2.421652421652422
1970-05-01,35.96,0.027816411682892908
1970-06-01,35.4,-1.557285873192436
1970-07-01,35.3,-0.2824858757062147
1970-08-03,35.25,-0.141643059490085
1970-09-01,36.23,2.780141843971631
1970-10-01,38.0,4.885454043610268
1970-11-02,37.55,-1.1842105263157894
1970-12-01,37.4,-0.3994673768308921
1971-01-01,38.05,1.7379679144385027
1971-02-01,38.75,1.8396846254927726
1971-03-01,38.82,0.18064516129032257
1971-04-01,39.2,0.9788768675940237
1971-05-03,40.92,4.387755102040816
1971-06-01,40.15,-1.881720430107527
1971-07-01,42.9,6.8493150684931505
1971-08-02,42.85,-0.11655011655011654
1971-09-01,42.65,-0.46674445740956827
1971-10-01,42.5,-0.3516998827667057
1971-11-01,43.4,2.1176470588235294
1971-12-01,43.55,0.3456221198156682
1972-01-03,46.2,6.0849598163031
1972-02-01,48.64,5.2813852813852815
1972-03-01,48.4,-0.4934210526315789
1972-04-03,49.3,1.859504132231405
1972-05-01,59.4,20.4868154158215
1972-06-01,64.0,7.744107744107744
1972-07-03,66.5,3.90625
1972-08-01,66.85,0.5263157894736842
1972-09-01,68.75,2.842183994016455
1972-10-02,64.75,-5.818181818181818
1972-11-01,63.55,-1.8532818532818534
1972-12-01,65.0,2.2816679779701023
1973-01-01,68.8,5.846153846153846
1973-02-01,82.0,19.186046511627907
1973-03-01,90.75,10.670731707317072
1973-04-02,90.7,-0.05509641873278237
1973-05-01,126.0,38.919514884233735
1973-06-01,122.0,-3.1746031746031744
1973-07-02,115.6,-5.245901639344262
1973-08-01,105.1,-9.083044982698961
1973-09-03,97.75,-6.9933396764985725
1973-10-01,98.0,0.2557544757033248
1973-11-01,105.5,7.653061224489796
1973-12-03,111.75,5.924170616113744
1974-01-01,137.5,23.042505592841163
1974-02-01,175.0,27.272727272727273
1974-03-01,172.25,-1.5714285714285714
1974-04-01,174.7,1.4223512336719883
1974-05-01,154.0,-11.848883800801374
1974-06-03,149.75,-2.75974025974026
1974-07-01,159.0,6.176961602671119
1974-08-01,152.5,-4.088050314465409
1974-09-02,147.5,-3.278688524590164
1974-10-01,168.25,14.067796610169491
1974-11-01,186.0,10.549777117384844
1974-12-02,193.0,3.763440860215054
1975-01-01,176.5,-8.549222797927461
1975-02-03,185.0,4.81586402266289
1975-03-03,176.75,-4.45945945945946
1975-04-01,167.05,-5.487977369165488
1975-05-01,172.0,2.963184675246932
1975-06-02,162.4,-5.5813953488372094
1975-07-01,168.4,3.6945812807881775
1975-08-01,161.85,-3.8895486935866983
1975-09-01,128.75,-20.451034908866234
1975-10-01,142.7,10.83495145631068
1975-11-03,141.4,-0.9110021023125437
1975-12-01,140.75,-0.4596888260254597
1976-01-01,126.25,-10.301953818827709
1976-02-02,132.45,4.910891089108911
1976-03-01,128.7,-2.8312570781426953
1976-04-01,128.7,0.0
1976-05-03,124.5,-3.2634032634032635
1976-06-01,123.7,-0.642570281124498
1976-07-01,114.15,-7.720291026677446
1976-08-02,104.38,-8.558913710030662
1976-09-01,116.25,11.371910327648974
1976-10-01,124.0,6.666666666666667
1976-11-01,130.5,5.241935483870968
1976-12-01,134.63,3.164750957854406
1977-01-03,132.38,-1.671247121741068
1977-02-01,143.13,8.120562018431787
1977-03-01,148.88,4.017326905610284
1977-04-01,147.38,-1.0075228371843095
1977-05-02,143.2,-2.836205726692903
1977-06-01,143.13,-0.04888268156424581
1977-07-01,144.38,0.8733319360022357
1977-08-01,146.13,1.2120792353511567
1977-09-01,154.38,5.645657975774995
1977-10-03,161.63,4.696204171524809
1977-11-01,160.13,-0.9280455361009714
1977-12-01,165.13,3.122462998813464
1978-01-02,175.88,6.510022406588749
1978-02-01,182.63,3.8378439845349104
1978-03-01,183.63,0.5475551661829929
1978-04-03,170.63,-7.079453248379894
1978-05-01,184.38,8.058371915841294
1978-06-01,183.38,-0.5423581733376722
1978-07-03,200.63,9.406696477260335
1978-08-01,208.7,4.022329661566067
1978-09-01,217.1,4.024916147580258
1978-10-02,242.6,11.745739290649471
1978-11-01,193.4,-20.280296784831
1978-12-01,226.0,16.85625646328852
1979-01-01,233.7,3.4070796460176993
1979-02-01,251.55,7.637997432605905
1979-03-01,240.35,-4.452395150069568
1979-04-02,245.55,2.1635115456625753
1979-05-01,274.85,11.93239666055793
1979-06-01,277.5,0.9641622703292705
1979-07-02,296.7,6.918918918918919
1979-08-01,315.35,6.285810583080552
1979-09-03,397.5,26.050420168067227
1979-10-01,382.25,-3.8364779874213837
1979-11-01,415.9,8.80313930673643
1979-12-03,526.5,26.59293099302717
1980-01-01,653.0,24.02659069325736
1980-02-01,637.0,-2.450229709035222
1980-03-03,495.0,-22.29199372056515
1980-04-01,518.0,4.646464646464646
1980-05-01,535.5,3.3783783783783785
1980-06-02,653.5,22.03548085901027
1980-07-01,614.25,-6.0061208875286916
1980-08-01,631.25,2.7676027676027677
1980-09-01,666.75,5.623762376237623
1980-10-01,629.0,-5.661792275965504
1980-11-03,623.0,-0.9538950715421304
1980-12-01,586.0,-5.93900481540931
1981-01-01,506.5,-13.566552901023892
1981-02-02,489.0,-3.4550839091806513
1981-03-02,513.75,5.061349693251533
1981-04-01,482.75,-6.034063260340632
1981-05-01,479.25,-0.7250129466597618
1981-06-01,426.0,-11.11111111111111
1981-07-01,406.0,-4.694835680751174
1981-08-03,427.0,5.172413793103448
1981-09-01,428.75,0.4098360655737705
1981-10-01,427.0,-0.40816326530612246
1981-11-02,414.5,-2.927400468384075
1981-12-01,401.0,-3.2569360675512664
1982-01-01,387.0,-3.491271820448878
1982-02-01,362.6,-6.304909560723514
1982-03-01,320.22,-11.68781025923883
1982-04-01,361.25,12.813066017113234
1982-05-03,325.25,-9.965397923875432
1982-06-01,317.5,-2.382782475019216
1982-07-01,342.9,8.0
1982-08-02,411.5,20.0058326042578
1982-09-01,397.0,-3.5236938031591736
1982-10-01,423.0,6.54911838790932
1982-11-01,436.0,3.0732860520094563
1982-12-01,448.0,2.7522935779816513
1983-01-03,499.5,11.495535714285714
1983-02-01,408.5,-18.21821821821822
1983-03-01,414.7,1.517747858017136
1983-04-01,429.2,3.4965034965034967
1983-05-02,437.5,1.9338303821062441
1983-06-01,416.0,-4.914285714285715
1983-07-01,422.0,1.4423076923076923
1983-08-01,414.2,-1.8483412322274881
1983-09-01,405.0,-2.221149203283438
1983-10-03,382.0,-5.679012345679013
1983-11-01,405.0,6.020942408376963
1983-12-01,381.5,-5.802469135802469
1984-01-02,373.7,-2.0445609436435124
1984-02-01,394.2,5.485683703505486
1984-03-01,388.5,-1.4459665144596652
1984-04-02,375.8,-3.268983268983269
1984-05-01,384.2,2.2352315061202765
1984-06-01,373.0,-2.9151483602290473
1984-07-02,342.3,-8.230563002680965
1984-08-01,348.2,1.7236342389716623
1984-09-03,343.7,-1.2923607122343481
1984-10-01,333.5,-2.967704393366308
1984-11-01,329.0,-1.3493253373313343
1984-12-03,308.3,-6.291793313069909
1985-01-01,306.6,-0.5514109633473889
1985-02-01,287.7,-6.164383561643835
1985-03-01,329.2,14.424748001390338
1985-04-01,321.3,-2.399756986634265
1985-05-01,314.0,-2.2720199190787427
1985-06-03,317.7,1.178343949044586
1985-07-01,327.5,3.0846710733396288
