,Year,Month,SPY Close Price,SPY Monthly Close Price Percentage Change (%),SPY Close Price Percentage Change (%)
0,2007,6,1514.4895238095237,0.2218664509636925,20.85737006467676
1,2007,7,1520.7047619047619,0.4103850173624579,20.667917638255396
2,2009,11,1088.069,1.9112165050279906,23.218467054918502
3,2009,12,1110.3777272727273,2.050304463478625,26.5298585543831
4,2010,1,1123.5815789473684,1.1891315315799789,29.80746092598141
5,2010,2,1089.16,-3.063558498317165,35.2611750064709
6,2010,3,1152.0486956521738,5.774054836036369,52.160598196578235
7,2010,4,1197.3161904761905,3.9293039430412957,41.16765920749823
8,2010,5,1125.0635,-6.0345538673000405,24.673415642693985
9,2011,2,1321.117894736842,3.001624780621981,21.296953132399455
10,2011,7,1325.1845,2.943851329521019,22.7246165196749
11,2012,9,1443.4194736842105,2.848645222894297,22.9615160618009
12,2013,5,1639.8427272727274,4.401881613464753,22.260200623559733
13,2013,6,1618.7725,-1.2848931743454362,22.311425792739726
14,2013,7,1668.6754545454546,3.0827651535626277,22.716919610210873
15,2013,11,1783.541,3.692645285297669,27.89710757404191
16,2013,12,1807.7752380952381,1.3587710120057883,27.103541313979385
17,2014,1,1822.3566666666666,0.8065952151657951,23.099333189656555
18,2014,2,1817.0347368421055,-0.29203557799118984,20.149495787557004
19,2014,3,1863.5233333333333,2.558486942964122,20.1630439805635
20,2014,6,1947.0876190476188,3.0332031333666354,20.281733168040518
21,2017,2,2329.9105263157894,2.4084278039356866,22.342359429704615
22,2018,1,2789.8038095238094,4.708981810838719,22.622486480856765
23,2019,12,3176.749523809524,2.3139205669457485,23.73857384140532
24,2020,1,3278.202857142857,3.193620792981844,25.727369405530286
25,2021,3,3910.508260869565,0.697222324801583,47.43317912007854
26,2021,4,4141.176190476191,5.898668771903637,49.93531199548702
27,2021,5,4167.8495,0.6440998474093629,42.75339385501171
28,2021,6,4238.489545454546,1.6948799483893495,36.52020847248143
29,2021,7,4363.7128571428575,2.954432477546254,36.04211514734785
30,2021,8,4454.206363636364,2.0737731710595897,31.326273874722887
31,2021,9,4445.543333333333,-0.19449099560708838,32.09096176416695
32,2021,10,4460.7071428571435,0.3411013769702764,30.47957889227364
33,2021,11,4667.386666666666,4.633335415001971,31.513004512313447
34,2021,12,4674.772727272727,0.1582483118188982,26.505563194230696
35,2022,1,4573.8155,-2.159617871554287,20.561908497109215
